Original,Translate,Translate_GPT_1
Ma fate che•lla Dama al Die d’Amore,Aber lasst die Dame des Gottes der Liebe,Lassen Sie die Dame des Gottes des Leidens
Faccia a Bellacoglienza pregheria,appellieren Sie an Bellaccoglieza,"Rufen Sie die Herrlichkeit, die Pracht und die Abenteuer an."
"Di lui, e che•lle schaldi un poco il core».",so dass sein Herz ein wenig erwärmt werden kann.,Damit sein Herz ein wenig gestärkt werden kann.
"Quand’i’ vidi lo Schifo sì adolzito,","Als ich sah, wie der Widerstand weich war,","Als ich sah, wie der Widerstand weich war,"
"Che solev’esser più amar che fele,",der gewöhnlich bitterer war als der Fiel,Das war normalerweise sauerer als Gift.
"Ed i’ ’l trova’ vie più dolcie che mele,","Aber ich fand es viel süßer als Honig,",Aber ich fand es köstlicher als Honig.
Sapiate ch’i’ mi tenni per guerito.,"Du solltest wissen, dass ich mich für geheilt hielt.","Du solltest wissen, dass ich mich geheilt habe."
Nel giardin me n’andai molto gichito,Ich ging in den sehr unterwürfigen Garten.,Ich ging in den sehr bescheidenen Garten.
"Per dotta di misfar a quel crudele,","aus Angst davor, diesen Grausamen zu beleidigen,","Angst davor, den Bösen zu schlagen."
E gli giurai a le sante,Und ich schwur ihm bei den Heiligen.,Und ich habe ihm feierlich versprochen.
Ch’e’ per me non sarebe mai marrito.,Dass er nie beängstigend gewesen wäre.,"dass, würde nie Angst leiden."
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Dann sagte er zu mir: ""Ich will wirklich, dass du kommst.""","Da sagte er zu mir: ""Ich möchte, dass du kommst."""
"Dentr’al giardin[o], sì com’e’ ti piace,","im Garten, weil du es magst,","im Inneren des Gartens, weil du es gemocht hast."
Ma’ che lungi dal Fior le tue man tenghi.,Solange du deine Hände von der Blume fern hältst.,"Unter der Bedingung, dass du dich davon abhältst, die Blume zu berühren."
Le buone donne fatt’ànno far pacie,Gute Frauen haben Frieden geschaffen,Die netten Frauen haben Ruhe geschaffen.
"Tra me e te: or fa che•lla mantenghi,","zwischen uns: Jetzt stellen Sie sicher, dass Sie halten","Sie und ich: Jetzt stellen Sie sicher, dass Sie erhalten"
Sì che verso di me non sie fallacie».,Damit ich mein Vertrauen nicht verrate.,Damit ich meine Loyalität nicht brechen kann.
"Venusso, ch’è socorso degli amanti,","Venus, die die Verliebten rettet,","Venus, die zu Hilfe der Liebhaber kommt,"
"Ven’ a Bellacoglienza col brandone,","kam von Bell Begrüßung mit einer Taschenlampe,",Er kam aus Bell's Empfang mit einer Laterne.
"E’ si rechava,   a guisa di penone,",und hielt ihn wie einen Speer,der wie ein Speer angriff
Per avanpar chiunque l’è davanti.,"um alle zu verbrennen, die er trifft.","Alle, die er trifft, anzünden."
"A voler racontar de’ suo’ senbianti,","Erzählen zu wollen, wie er aussieht.",Beschreibung des Erscheinungsbildes
"E de la sua tranobile fazone,","und seine edle Vorkehrung,","und seine erhabene Neigung,"
Sarebe assai vie più lungo sermone,"Es würde viel länger dauern, das zu sagen.","Es würde eine Menge Zeit brauchen, um das auszudrücken."
Ch’a sermonar la vita a tutti i santi.,das Leben aller Heiligen zu erzählen.,Erzählen Sie die Biographie jedes Heiligen.
Quando Bellacoglienza sentì ’l caldo,Wenn Schöne Begrüßung fühlte sich die Hitze,Wenn Schöne Begrüßung wahrgenommen die herzliche
"Di quel brandon,   che così l’avanpava,","von der Fackel, die sie brannte,","Die Taschenlampe, die sie leuchten ließ."
Sì tosto fu ’l su’ cuor col mio saldo.,Und sein Herz schloß sich mir an.,Und sein Herz ward sogleich mit meinem;
"E Venusso, ch’a•cciò la confortava,","und die Venus, die sie dazu ermahnte,","Und die Venus, die sie dazu aufrief,"
"Si trasse verso lei col viso baldo,",Sie näherte sich ihr mit dem möglichen Gesicht,Sie näherte sich ihr mit einem imposanten Gesicht.
Diciendo che ve•me troppo fallava:,"Er sagte, er sei schuldig für mich.","Er sagte, er sei für mich verantwortlich."
"«Tu falli tropo verso quell’Amante,»",Venus sagte: Du machst einen großen Fehler gegen diese Geliebte,"Venus sagte: ""Du machst einen großen Fehler gegenüber dieser Geliebten."
"Disse Venusso «che cotanto t’ama,","sagte Venus, der dich so sehr liebt;","Er sagte Venus, dass er dich sehr liebt."
"Néd i’ non so al mondo sì gran dama,",Ich kenne keine große Dame auf der Welt.,Ich kenne keine prominente Frau auf der Welt.
"Che di lui dovess’eser rifusante,","Dass er sich weigerte,",daß er von ihm abweisen sollte.
"Ch’egli è giovane, bello e avenante,","weil er jung, schön und charmant ist,","denn er ist jung, attraktiv und verführerisch."
"Cortese, franco e pro, di buona fama:","höflich, loyal, mutig und respektiert.","liebevoll, treu, eifrig und geschätzt."
"Promettili un basciar, e a•tte ’l chiama,",Versprich ihm einen Kuss und ruf ihn an.,Versprich ihm einen Kuss und lade ihn zu dir ein.
Ch’e’ non à huon nel mondo più cielante».,Denn niemand auf der Welt ist diskreter als er.,Denn niemand auf der Welt ist geheimer als er.
Bellacoglienza disse: «I’ vo’ che vegnia,"Und er sprach: Ich will, daß er kommt.","Und er sprach: Ich will, daß er kommt."
"E basci il Fior, che tanto gli è piaciere,","und küsst die Blume, die so sehr mag,","Und umarmt die Blume, die sie so sehr mag."
"Ma ched e’ sagiamente si contegnia,","Aber es ist weise, daß er sich darin befindet.",daß er aber weise bleibe.
"Che siate cierto, ch’e’ no•m’è spiaciere».","Ihr seid sicher, dass es mir nicht leid tut.","Stellen Sie sicher, dass dies nicht mein Bedauern ist"
«Or gli ne manda alcuna buona ’nsegna»,Jetzt schick ihm ein gutes Zeichen.,Einen guten Hinweis senden
"Disse Venùs, «e fagliele a sapere».",Sagte Venus und sag ihm Bescheid.,Er behauptete Venus und informierte ihn
Per Bel-Senbiante e per Dolze-Riguardo,für schöne Erscheinung und für süßen Blick,Für attraktives Aussehen und liebenswerter Blick.
Mi mandò la piaciente ch’i’ andasse,"Er hat mich informiert, dass ich gehe.","Er sagte, ich soll gehen."
"Nel su’ giardin, e ch’io il Fior basciase,",im Garten und die Blume küssen,im Garten und küsste die Blume
"Né non portasse   già lancia né dardo,","weder Speere noch Pfeile tragen,","Vermeiden Sie es, Speere und Pfeile zu tragen."
Ché lo Schifo era fatto sì codardo,weil der Widerstand so feige geworden war,Warum der Widerstand so pusillane geworden war
Ch’e’ non mi bisogniava ch’i ’l dottasse.,Ich brauchte ihn nicht zu fürchten.,Ich brauchte ihn nicht zu fürchten.
"Ma tuttor non volea ched i’ v’entrasse,","Aber er wollte nicht, dass ich hineingehe.","Aber er wollte nicht, daß ich auf ihn falle."
"Sed e’ non fosse nocte ben a tardo,","Es sei denn, es war spät in der Nacht.","Es sei denn, es war nicht spät am Abend."
Perciò che Chastità e Gielosia,Darum Keuschheit und Eifersucht,"Also, was für Reinheit und Besitz"
Sì ànno messo Paura e Vergognia,Jahr anvertraut Angst und Scham,Jahr der Furcht und Demütigung anvertraut
"In le’ guardar, che non faccia follia,","Sie anschauen, nicht verrückt machen","Sie zu beobachten, dass sie nichts Blödes tut"
"Ed un villan, che truov’ognie menzognia,","und ein Heiland, der jede Lüge findet","und ein Bösewicht, der alle Lüge erwischt"
"La guarda, il qual fu nato in Normandia:","Sie schaut sie an, die in der Normandie geboren wurde.","die Untersuchung, die in der Normandie geboren wurde"
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, der die Quelle aller Übel ist.","Böse, die Quelle aller Bosheit."
"Udendo quella nobile novella,",Diese edle Geschichte hören,Diesen edlen Bericht hören
"Che que’ gienti messagi m’aportaro,",Sie wurden mir von diesen Boten gebracht.,Sie wurden mir von diesen Gesandten übergeben.
Sì forte mente il cuor   mi confortaro,Ich habe so viel Trost in meinem Herzen gespürt.,Ich spürte eine große Erleichterung in meiner Seele.
Che di gioia perde’ quasi la favella.,Dass ich aus Freude fast die Kraft des Wortes verloren habe.,Dass ich aus Freude fast die Kontrolle über die Zunge verloren habe.
"Nel giardin me n’anda’ tutto ’n gonella,","In den Garten kam ich in meine Glocke,",In den Garten bin ich in meine Hütte eingedrungen.
"Sanz’armadura, com’e’ comandaro,","ohne Waffen, wie sie es befohlen hatten.","Unbewaffnet, wie befohlen."
E sì trovai quella col viso chiaro.,Und ich fand das mit dem hellen Gesicht.,Und ich entdeckte das mit dem blassen Gesicht
"Bellacoglienza tosto a•ssé m’apella,",Schöner Empfang sofort heiße ich,"Herzliche Gastfreundschaft, ich stelle mich sofort vor."
"E disse: «Vien avanti e bascia ’l Fiore,",und sprach: Komm her und küss die Blume;,und sprach: Gehe hin und küsse die Pflanze;
"Ma guarda di far cosa che mi spiaccia,","Aber schau, dass du nichts tust, was mir leid tut,","Aber sieh zu, dass du nichts tust, was mich ärgert."
Ché•ttu ne perderesti ognie mio amore».,Weil du all meine Liebe verlieren würdest.,Weil du all meine Hingabe verlierst.
"Sì ch’i’ alor feci croce de le braccia,",Doch dann kreuzte ich meine Arme.,Ich habe meine Arme geflochten.
E sì ’l basciai co•molto gran tremore.,"und küßte die Blume mit großem Zittern,","Und küsste die Blume mit großer Aufregung,"
Sì forte ridottava suo minaccia.,so verängstigt von seiner Drohung,so erschrocken durch seine Einschüchterung
Del molto olor ch’al cor m’entrò basciando,"des Parfüms, das mir ins Herz kam, als ich küsste","des Duftes, den ich in meiner Seele spürte, als ich küsste"
"Quel pretioso Fior, che tanto aulia,","die kostbare Blume, die so duftend ist","das kostbare Blütenblatt, das so duftend ist"
Contar né dir per me non si poria.,Ich bin nicht in der Lage zu sprechen oder zu sagen;,"Ich bin nicht in der Lage, mich zu äußern oder zu artikulieren."
Ma dirò come ’l mar s’andò   turbando,"aber ich werde sagen, wie das Meer wurde stürmisch","aber ich werde zeigen, wie das Meer wurde stürmisch"
"Per MalaBocha, quel ladro normando,","für Malabocha, den normannischen Dieb,","Für Malabocha, den normannischen Übeltäter,"
Che se n’avide e svegliò Gielosia,der das Ereignis sah und die Eifersucht auferweckte,der die Sache beobachtete und Neid erweckte
"E Chastità, ché ciaschuna dormia,","und die Keuschheit, die jeder schlief.","und die Reinheit, die jeder ruhte."
Perch’i’ fu’ del giardin rimesso in bando.,Und ich wurde wieder aus dem Garten geworfen.,Deshalb wurde ich wieder aus dem Garten vertrieben.
"E sì vi conterò de la forteza,",Und nun werde ich euch von der Festung erzählen,Und nun erzähle ich euch von der Festung.
"Dove Bellacoglienza fu ’n prigione,",wo Bell empfängt war im Gefängnis,Wo Schöne Begrüßung eingesperrt wurde
Ch’Amor abatté poi per su’ prodezza;,Was die Liebe mit ihrer Kraft zerstört hat.,Was die Liebe mit ihrer Macht verwüstet hat.
E come Schifo mi tornò fellone,und wie der Widerstand feindlich geworden ist,und wie der Widerstand wurde gegnerisch
E lungo tenpo mi tene in distreza;,"und er hatte mich lange in Angst,","und quälte mich für eine lange Zeit,"
E come ritornò a me Ragione.,und wie die Vernunft zu mir zurückgekehrt ist.,und wie die Weisheit zu mir zurückgekehrt ist.
"Castità, che da Veno è guereggiata,","Keuschheit, gegen die Venus Krieg führt,","Reinheit, gegen die Venus kämpft,"
"Sì disse a Gielosia: «Per Dio, merzede!","Er sagte zu Eifersucht: ""Im Namen Gottes, erbarme dich!","Er sagte zu Neid: ""Im Namen Gottes, habe Barmherzigkeit!"""
"S’a questo fatto l’uon non ci provede,",wenn jemand dafür nicht sorgt,Wenn das nicht der Fall ist
I’ potre’ ben tosto esere adontata.,Ich könnte bald an Scham leiden.,Ich könnte mich bald peinlich fühlen.
"Vergognia e Paura m’ànno abandonata,",Scham und Angst haben mich verlassen;,Peinlich und beängstigend haben sie mich verlassen.
"In quello Schifo foll’è chi si crede,","in diesem Widerstand, an den Sie glauben",In der Beharrlichkeit des Glaubens
Ch’i’ son ciertana   ch’e’ non ama a fede,"Denn ich bin sicher, er liebt nicht treu,","Weil ich sicher bin, dass er nicht loyal liebt."
Po’ del giardin sì mal guardò l’entrata.,Dann sah er sich den Eingang des Gartens so schlecht an.,Dann schaute er sich den Zugang zum Garten so schlecht an.
"Onde vo’ siete  la miglior guardiana,",wo ihr die beste Wächterin seid,Wo ihr die zuverlässigste Hausmeisterin seid.
Ch’i’ ’n esto mondo potese trovare:,dass diese Welt finden könnte,Möge diese Welt finden
Gran luogo avete in  Lonbardia e ’n Toschana.,Sie sind in der Lombardei und in der Toskana bekannt.,Sie sind berühmt in der Lombardei und in der Toskana.
"Per Dio, ched e’ vi piaccia il Fior guardare,","Im Namen Gottes, schaut ihr gern die Blume an!","Im Namen der Göttlichkeit, die Sie gerne Blossoming betrachten!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","Wenn er ihn küssen würde, müsste er ihn ruinieren.","Wenn die Tat, die ihn mit einem Kuss grüßt, ihm schadet,"
"Non fia misfatto, ch’uon poss’amendare».",Man kann es nie wiedergutmachen.,"ein Fehler nicht begangen wird, kann nie korrigiert werden."
"Gielosia disse: «I’ prendo a me la guarda,","Eifersucht sagte: ""Ich bewache mich.""","Eifersucht verkündete: ""Ich übernehme das Sorgerecht."""
"Ch’a ben guardar il Fior è mia credenza,","zu beobachten, die Blume ist mein Glaube",Die Blume beobachten ist mein Glaube
"Ch’i’ avrò giente di tal provedenza,",daß ich solche Vorsehung habe.,daß ich solche Leute habe.
Ched i’ non dotto già che Veno gli arda».,"Ich habe keine Angst, dass Venus sie entzündet.","Ich fürchte nicht, dass Venus sie anzündet."
"Al giardin se n’andò, fier’ e ghagliarda,","In den Garten ging er, stolz und stark,","In den Garten ging er, arrogant und kräftig."
"Ed ivi si trovò Bellacoglienza,",und finden Sie Schöne Begrüßung,Und Sie finden sie herzliche Gastfreundschaft
"E disele: «Tu à’ fatta tal falenza,","Sie sagte zu ihr: ""Du hast so einen Fehler gemacht.""","Sie sagte zu ihr: ""Du hast so eine Dummheit begangen."""
Ch’i’ ti tengho per folle e per musarda.,Ich halte euch für dumm und dumm.,Ich halte euch für töricht und töricht.
"Ed a voi dico, Paur’ e Vergognia,",Und ich sage euch: Angst und Schande,"Ich sage euch, Angst und Reue"
"Che chi di Fior guardar in voi si fida,","dass wir von euch vertrauen, die Blume zu sehen","Wer von euch traut, den Blossoming zu erforschen?"
Cierta son ch’e’ non à lett’ a Bolognia.,"Ich bin mir sicher, dass Sie nicht in Bologna studiert haben.","Ich bin sicher, er war nicht mit Bologna zusammen."
"E quello Schifo, che punt’or non grida,","Und dieser Widerstand, der jetzt nicht schreit,","Dieser Widerstand, der jetzt nicht schreit,"
"Gli varia me’ ch’e’ fosse in Catalognia,","Es wäre besser für ihn, wenn er in Katalonien wäre.","Es wäre besser, wenn er sich in der katalanischen Region befindet."
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,"wenn Sie nicht in der Lage sind, das zu schützen, was in Ihrer Behandlung ist.","Wenn er nicht in der Lage ist, das zu bewahren, was ihm anvertraut ist."
Vergognia contra terra il capo china,"Schande beugt den Kopf zur Erde,",Reue senkt den Blick auf den Boden.
"Ché ben s’avide, ch’ella avea fallato,","weil er wusste, dass er einen Fehler gemacht hat,","Weil er wusste, dass er einen Fehler gemacht hat."
"E d’un gran velo il viso avea velato,",und bedeckt sein Gesicht mit einem großen Schleier.,Und sein Gesicht mit einem riesigen Schleier umwickelt.
"E sì disse a Paura, sua chugina:","Und er fürchtete sich, seine Cousine:",Und er sagte zu seiner Cousine mit Furcht:
"«Paura, no’ siàn messe nell’aina","Angst, wir stecken in Hass","Angst, wir sind im Sternenhimmel."
"Di Gielosia, e ciò ci à prochacciato","der Eifersucht, und das hat gejagt","Vor Neid, und das hat dazu geführt,"
"Lo Schifo, perch’egli à cortesegiato","der Widerstand, weil er umworben hat","Die Guerilla, denn er hat bezaubert"
"Al bel valetto, ch’i’ vid’ier mattina.","dem hübschen Kerl, den ich gestern Morgen gesehen habe.","An den attraktiven jungen Mann, den ich gestern Morgen beobachtet habe."
"Or andiàn tosto, e troviàn quel villano,",Jetzt gehen wir schnell und finden den Dorfbewohner.,Jetzt gehen wir schnell voran und identifizieren den Bösen.
E gli dirén com’e’ fia malbalito,"Und wir werden ihm sagen, wie schlecht er behandelt wird,","Und wir werden ihm sagen, wie schlecht er behandelt wird."
"Se Gielosia gli mette adosso mano,",wenn die Eifersucht ihn angreift;,Wenn ihn Eifersucht angreift.
"Ch’egli à ’n ben guardar troppo fallito,",daß er nicht gut angeschaut und versagt hat,daß er nicht sorgfältig und verfehlte
