Original,Translate,Translate_GPT_1
"E’ si rechava,   a guisa di penone,",qu'il tenait comme une lance,qu'il tenait comme une lance
Per avanpar chiunque l’è davanti.,pour mettre le feu à tous ceux qu'il rencontre.,Incendie tous ceux qu'il rencontre.
"A voler racontar de’ suo’ senbianti,",A vouloir raconter sa ressemblance,Décrivez ses apparences
"E de la sua tranobile fazone,","et sa noble disposition,","et son illustre inclination,"
Sarebe assai vie più lungo sermone,Il faudrait beaucoup plus de temps pour le dire.,Il faudrait beaucoup de temps pour l'exprimer.
Ch’a sermonar la vita a tutti i santi.,qui raconter la vie de tous les saints.,raconter la biographie de chaque Saint.
Quando Bellacoglienza sentì ’l caldo,Quand Bell accueil senti la chaleur,Quand Bell accueil perçu le chaleureux
"Di quel brandon,   che così l’avanpava,","de cette torche qui la brûlait,",de cette lampe qui la faisait briller.
Sì tosto fu ’l su’ cuor col mio saldo.,aussitôt son cœur s'est joint au mien;,Tout de suite son cœur fut avec le mien;
"E Venusso, ch’a•cciò la confortava,","et Vénus, qui l'exhortait à cela,","Et Vénus, qui l'incitait à cela,"
"Si trasse verso lei col viso baldo,",s'approcha d'elle avec le visage puant,Il s'approcha d'elle avec un visage imposant.
Diciendo che ve•me troppo fallava:,en disant qu'il était coupable pour moi.,En disant qu'il était responsable de moi.
"«Tu falli tropo verso quell’Amante,»",Vénus dit: Tu commets une grosse erreur envers cette maîtresse.,Vénus déclara: Tu commets une grosse erreur à l'égard de cette maîtresse.
"Disse Venusso «che cotanto t’ama,",dit Vénus qui t'aime tant;,Vénus a dit qu'il t'adore beaucoup.
"Néd i’ non so al mondo sì gran dama,",Je ne connais pas de grande dame au monde.,Je ne connais aucune femme importante au monde.
"Che di lui dovess’eser rifusante,",qu'il refusait:,qu'il devait rejeter
"Ch’egli è giovane, bello e avenante,","parce qu'il est jeune, beau et charmant,","car il est jeune, séduisant et séduisant."
"Cortese, franco e pro, di buona fama:","courtois, loyal, audacieux et bien respecté.","affable, fidèle, ardent et bien estimé."
"Promettili un basciar, e a•tte ’l chiama,",Promets-lui de l'embrasser et appelle-le.,Promets-lui de l'embrasser et invite-le.
Ch’e’ non à huon nel mondo più cielante».,Car personne au monde n'est plus discret que lui.,Car personne au monde n'est plus secret que lui.
Bellacoglienza disse: «I’ vo’ che vegnia,Beau accueil dit: Je veux qu'il vienne,Beau accueil dit: Je veux qu'il vienne
"E basci il Fior, che tanto gli è piaciere,","et embrasse la Fleur qui aime tant,",et embrasse la Fleur qui aime tant.
"Ma ched e’ sagiamente si contegnia,",mais qu'il soit sage de le contenir,Mais qu'il s'abstienne sagement
"Che siate cierto, ch’e’ no•m’è spiaciere».",Soyons sûrs que ce n'est pas mon chagrin.,Assurez-vous que ce n'est pas mon regret
«Or gli ne manda alcuna buona ’nsegna»,Envoie-lui un bon signe.,Envoyer une bonne indication
"Disse Venùs, «e fagliele a sapere».",Dit Vénus et fais-lui savoir,Il a dit Vénus et l'a informé.
Per Bel-Senbiante e per Dolze-Riguardo,pour belle apparence et pour doux regards,Pour l'aspect attrayant et pour le regard aimable.
Mi mandò la piaciente ch’i’ andasse,Il m'a dit que j'allais y aller.,Il m'a dit que je devais y aller.
"Nel su’ giardin, e ch’io il Fior basciase,",dans le jardin et que j'embrasse la Fleur,dans le jardin et qui embrasse la Fleur
"Né non portasse   già lancia né dardo,","de ne porter ni lances ni flèches,",éviter de porter à la fois des lances et des flèches.
Ché lo Schifo era fatto sì codardo,parce que la Résistance était devenue si lâche,Pourquoi la Résistance était devenue si pusillanime
Ch’e’ non mi bisogniava ch’i ’l dottasse.,Je n'avais pas besoin de le craindre.,Je n'avais pas besoin de le craindre.
"Ma tuttor non volea ched i’ v’entrasse,",Mais il ne voulait toujours pas que j'y entre.,Mais il ne voulait toujours pas que j'y accède.
"Sed e’ non fosse nocte ben a tardo,",À moins qu'il ne soit très tard la nuit.,Sauf qu'il n'était pas très tard le soir.
Perciò che Chastità e Gielosia,C'est pourquoi la chasteté et la jalousie,"Par conséquent, quelle pureté et quelle possessivité"
Sì ànno messo Paura e Vergognia,année confiée à la peur et à la honte,année confiée à la crainte et à l'humiliation
"In le’ guardar, che non faccia follia,","de la regarder, qu'elle ne fasse pas une folie","Regardez-la, qu'elle ne fasse pas une bêtise."
"Ed un villan, che truov’ognie menzognia,",et un vilain qui trouve tous les mensonges,et un méchant qui découvre toute fausseté
"La guarda, il qual fu nato in Normandia:","la regarde, qui est né en Normandie","le scrute, qui est né en Normandie."
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, qui est la source de tous les maux.","Maléfique, qui est la source de toute méchanceté."
"Udendo quella nobile novella,",En écoutant cette noble histoire,En écoutant ce récit noble
"Che que’ gienti messagi m’aportaro,","Ils m'ont été envoyés par ces messagers,",Ils m'ont été remis par ces émissaires.
Sì forte mente il cuor   mi confortaro,J'ai ressenti beaucoup de consolation dans mon cœur.,J'ai ressenti un grand soulagement dans mon esprit.
Che di gioia perde’ quasi la favella.,que par joie j'ai presque perdu le pouvoir de la parole.,que j'ai presque perdu le contrôle de la langue par exultation.
"Nel giardin me n’anda’ tutto ’n gonella,","Dans le jardin, je suis entré dans ma jupe,","Dans le jardin, j'ai pénétré dans ma cabane."
"Sanz’armadura, com’e’ comandaro,","Sans armes, comme ils l'avaient ordonné.","Désarmés, comme ordonné."
E sì trovai quella col viso chiaro.,et j'ai trouvé celle avec le visage clair,et j'ai découvert celle avec un visage pâle
"Bellacoglienza tosto a•ssé m’apella,","Bon accueil, je m'appelle tout de suite.","Accueil chaleureux, je me présente immédiatement."
"E disse: «Vien avanti e bascia ’l Fiore,","Et il dit: Viens, et embrasse la Fleur.","Et il dit: ""Procède et embrasse la Plante;"
"Ma guarda di far cosa che mi spiaccia,","Mais ne fais rien qui me dérange,",Mais ne fais rien qui m'ennuie.
Ché•ttu ne perderesti ognie mio amore».,Parce que tu perdrais tout mon amour.,Parce que tu perdrais toute ma dévotion.
"Sì ch’i’ alor feci croce de le braccia,","Alors j'ai croisé les bras,",J'ai dû m'entrelacer les bras.
E sì ’l basciai co•molto gran tremore.,"et embrassa la Fleur avec un grand tremblement,","Et il embrassa la Fleur avec une grande agitation,"
Sì forte ridottava suo minaccia.,Si effrayé par sa menace,si terrifié par son intimidation
Del molto olor ch’al cor m’entrò basciando,du grand parfum qui m'entra dans le cœur tandis que je m'embrasse.,du parfum qui a pénétré dans mon âme pendant que j'embrassais
"Quel pretioso Fior, che tanto aulia,",cette précieuse fleur qui est si parfumée,ce précieux pétale qui est si parfumé
Contar né dir per me non si poria.,Je ne suis pas en mesure de parler ou de dire;,Je ne peux pas m'exprimer ou m'exprimer.
Ma dirò come ’l mar s’andò   turbando,Mais je dirai comment la mer est devenue orageuse,mais je montrerai comment la mer est devenue troublée
"Per MalaBocha, quel ladro normando,","pour Malabocha, ce voleur normand,","Pour Malabocha, ce malfaiteur normand,"
Che se n’avide e svegliò Gielosia,qui a vu l'événement et éveillé la jalousie,qui observa l'acception et suscita l'envie
"E Chastità, ché ciaschuna dormia,","et la chasteté, que chacun dormait.","et la pureté, que chacun dormait"
Perch’i’ fu’ del giardin rimesso in bando.,C'est pourquoi j'ai de nouveau été chassé du jardin.,C'est pourquoi j'ai été expulsé de nouveau du jardin.
"E sì vi conterò de la forteza,",Et maintenant je vais vous parler de la forteresse.,Je vais vous raconter la forteresse.
"Dove Bellacoglienza fu ’n prigione,",où Bell a été en prison.,Où Bell a été emprisonné
Ch’Amor abatté poi per su’ prodezza;,Celui que l'Amour a détruit par sa force.,ce que l'Amour a dévasté par sa puissance.
E come Schifo mi tornò fellone,et comment la Résistance est devenue hostile,et comment la Résistance est devenue adversaire
E lungo tenpo mi tene in distreza;,"Et il me tint dans l'angoisse pendant longtemps,","et il m'a tourmenté pendant une longue période,"
E come ritornò a me Ragione.,et comment la Raison est revenue vers moi.,et comment la Sagesse est revenue vers moi.
"Castità, che da Veno è guereggiata,","La chasteté, contre laquelle Vénus fait la guerre,","Pureté, contre laquelle Vénus combat,"
"Sì disse a Gielosia: «Per Dio, merzede!","Il dit à la jalousie: ""Au nom de Dieu, aie pitié!","Il dit alors à l'envie: ""Au nom de Dieu, aie miséricorde!"""
"S’a questo fatto l’uon non ci provede,","s'il n'en est pas ainsi,",Si l'un d'entre eux n'intervient pas
I’ potre’ ben tosto esere adontata.,Je pourrais bientôt avoir honte.,Je pourrais bientôt être gêné.
"Vergognia e Paura m’ànno abandonata,",la honte et la peur m'ont abandonné;,l'embarras et la peur m'ont abandonné.
"In quello Schifo foll’è chi si crede,",dans cette résistance en laquelle on croit,Dans la persévérance en laquelle on a foi
Ch’i’ son ciertana   ch’e’ non ama a fede,"parce que je suis sûr qu'il n'aime pas fidèlement,",Parce que je suis sûr qu'il n'aime pas avec loyauté.
Po’ del giardin sì mal guardò l’entrata.,puis il a regardé l'entrée du jardin si mal.,puis il a regardé l'accès du jardin si mal.
"Onde vo’ siete  la miglior guardiana,",où vous êtes la meilleure gardienne.,Là où vous êtes le gardien le plus digne de confiance.
Ch’i’ ’n esto mondo potese trovare:,que ce monde pouvait trouver,Que ce monde puisse découvrir
Gran luogo avete in  Lonbardia e ’n Toschana.,Vous êtes bien connus en Lombardie et en Toscane.,Vous êtes célèbres en Lombardie et en Toscane.
"Per Dio, ched e’ vi piaccia il Fior guardare,","Au nom de Dieu, que vous aimiez regarder la Fleur !","Au nom de la divinité, que vous aimez contempler le Blossoming!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","qui, si celui-ci, qui l'embrasse, devait le ruiner,","qui, si cette action, qui le salue par un baiser, devait le blesser,"
"Non fia misfatto, ch’uon poss’amendare».",Il n'y a pas de mal à ça. Il n'y a pas de solution.,il n'y a pas d'erreur qui ne peut jamais être corrigée.
"Gielosia disse: «I’ prendo a me la guarda,","Jalousie dit: ""Je prends la garde.""","Jalousie proclama: ""Je prends la garde."""
"Ch’a ben guardar il Fior è mia credenza,",de regarder la Fleur est mon credo,Observer la Fleur est ma foi
"Ch’i’ avrò giente di tal provedenza,",que j'aurai des gens de cette providence,que j'aurai des gens d'une telle munificence
Ched i’ non dotto già che Veno gli arda».,que je n'ai pas peur que Vénus les enflamme.,que je n'ai pas peur que Vénus les allume.
"Al giardin se n’andò, fier’ e ghagliarda,","Dans le jardin, elle est partie, fière et forte,","Dans le jardin, il s'en alla, arrogant et énergique."
"Ed ivi si trovò Bellacoglienza,",et on les trouve Bell accueil,Et on les trouve Accueil chaleureux
"E disele: «Tu à’ fatta tal falenza,","Il lui a dit: ""Tu as fait une telle erreur.""","Il lui a dit: ""Tu as commis une telle absurdité."""
Ch’i’ ti tengho per folle e per musarda.,Je vous considère comme insensés et stupides.,que je vous considère stupides et fatues.
"Ed a voi dico, Paur’ e Vergognia,","Et je vous dis, Peur et Honte","Je vous le dis, la peur et le remords"
"Che chi di Fior guardar in voi si fida,",qui nous fait confiance pour regarder la Fleur,lequel d'entre vous a confiance pour scruter le Blossoming
Cierta son ch’e’ non à lett’ a Bolognia.,Je suis sûr qu'il n'a pas étudié à Bologne.,Je suis sûr qu'il n'a pas fréquenté Bologne.
"E quello Schifo, che punt’or non grida,","Et cette Résistance, qui ne crie plus,","Cette résistance, qui ne crie plus,"
"Gli varia me’ ch’e’ fosse in Catalognia,","Ce serait mieux pour lui qu'il soit en Catalogne,",Il serait préférable qu'il se trouve dans la région catalane.
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,s'il n'est pas en mesure de protéger ce qu'il prend en charge.,S'il n'est pas capable de garder ce qui lui est confié.
Vergognia contra terra il capo china,"Honte à la tête vers le sol,",Les remords baissent les yeux sur le sol.
"Ché ben s’avide, ch’ella avea fallato,","parce qu'il savait qu'il avait fait une erreur,",Parce qu'il savait qu'il avait commis une erreur.
"E d’un gran velo il viso avea velato,",et couvert son visage d'un grand voile.,Et enveloppé son visage d'un voile énorme.
"E sì disse a Paura, sua chugina:","Et il dit de peur, sa cousine:","Et il dit à sa cousine, avec crainte:"
"«Paura, no’ siàn messe nell’aina","Peur, nous sommes dans la haine","La peur, c'est notre astuce."
"Di Gielosia, e ciò ci à prochacciato","de jalousie, et cela a chassé","D'envie, et cela a donné"
"Lo Schifo, perch’egli à cortesegiato","la Résistance, parce qu'il a courtisé","La guérilla, car il a été malade."
"Al bel valetto, ch’i’ vid’ier mattina.",à ce beau garçon que j'ai vu hier matin.,À ce jeune homme séduisant que j'ai vu hier matin.
"Or andiàn tosto, e troviàn quel villano,",Allons vite et trouvons ce vilain garçon.,Allons-y vite et détectons ce méchant.
E gli dirén com’e’ fia malbalito,"et nous lui dirons à quel point il est mal traité,",Et on lui dira à quel point il est maltraité.
"Se Gielosia gli mette adosso mano,",si la jalousie met ses mains sur lui;,Si la jalousie l'attaque.
"Ch’egli à ’n ben guardar troppo fallito,",qu'il n'a pas bien regardé et échoué,qu'il n'a pas soigneusement examiné et manqué
"Ch’e’ sì dé eser a ciaschuno strano,",parce qu'il devrait être à chacun étrange,Parce qu'il devrait être à chacun d'entre eux inhabituel.
E ’l Diavol sì•ll’à ora incortesito».,Mais le diable l'a rendu si raffiné !,Mais le démon l'a rendu si raffiné !
"Per lo Schifo trovar, ciaschun’andava,","Pour trouver la Résistance, chacun allait","Pour découvrir la Résistance, tout le monde se promenait."
"Per dirli del misfatto molto male,",pour lui dire qu'il a été très malmené.,L'informer sérieusement du crime.
E que’ s’avea fatto un capezale,et qu'il s'était fait un chevet ici,et qu'il s'était créé un lit ici.
"D’un fascio d’erba, e sì soniferava.","par un faisceau d'herbe, et là il s'endormit.","d'un bouquet de végétation, et là il s'assembla."
