input|target
I've been married for three years.|Io sono stata sposata per tre anni.
After taking a bath, Tom ate dinner.|Dopo aver fatto un bagno, Tom cenò.
Can you tell me when Tom'll be back?|Mi puoi dire quando sarà di ritorno Tom?
I think you're too drunk to drive.|Penso che tu sia troppo ubriaco per guidare.
I can't give you the answer today.|Non posso darle la risposta oggi.
So are you going to help me or not?|Quindi, mi aiuterete o no?
He read a book written in English.|Lui ha letto un libro scritto in inglese.
I wish I could be more spontaneous.|Io vorrei essere più spontaneo.
Tom visited Mary in the hospital.|Tom visitò Mary in ospedale.
Tom told me that you hate dancing.|Tom mi ha detto che odia ballare.
I knew you wouldn't pass the exam.|Sapevo che non avreste superato l'esame.
I asked a friend of mine to help us.|Ho chiesto a una mia amica di aiutarci.
That hotel is very near the lake.|Quell'albergo è molto vicino al lago.
That actually happened three times.|In realtà è successo tre volte.
Do you know where Tom is taking us?|Sapete dove ci sta portando Tom?
Tom and I are both on the same team.|Io e Tom siamo nella stessa squadra.
I think I speak French fairly well.|Penso di parlare il francese discretamente bene.
What're you going to do on Friday?|Cosa farete venerdì?
I'm not sure that I feel the same.|Non sono sicuro di provare la stessa cosa.
You'd better go. It's getting late.|Farebbe meglio ad andare. Si sta facendo tardi.
I helped my mother with the cooking.|Aiutai mia madre a cucinare.
Tom wanted to impress his friends.|Tom voleva impressionare i suoi amici.
Tom isn't sure he wants to do this.|Tom non è sicuro di voler fare questo.
Tom didn't need to get up so early.|Tom non aveva bisogno di alzarsi così presto.
Did you put a stamp on the envelope?|Hai messo un francobollo sulla busta?
Tom is likely to be late for school.|È probabile che Tom sia in ritardo per la scuola.
Tom gave me a box full of apples.|Tom mi diede una scatola piena di mele.
Tom would treat you with respect.|Tom vi tratterebbe con rispetto.
I thought Mary was Tom's girlfriend.|Pensavo che Mary fosse la morosa di Tom.
Tom wants you to wait for a while.|Tom vuole che aspettiate per un po'.
Tom thinks that his life is boring.|Tom pensa che la sua vita sia noiosa.
Who does this dictionary belong to?|A chi appartiene questo dizionario?
Haven't you washed the dishes yet?|Tu non hai ancora lavato i piatti?
Someone has left the window open.|Qualcuno ha lasciato la finestra aperta.
I'm going to tell Tom you're here.|Dirò a Tom che siete qui.
I have seen him once on the train.|L'ho visto una volta in treno.
Tom doesn't intend to go by himself.|Tom non ha intenzione di andare da solo.
I had a cousin who lived in Boston.|Io avevo una cugina che viveva a Boston.
That must be what love looks like.|Dev'essere quello a cui assomiglia l'amore.
I'd like a room facing the garden.|Vorrei una camera che si affacci sul giardino.
Water contains hydrogen and oxygen.|L'acqua contiene idrogeno e ossigeno.
Why don't you trim your mustache?|Perché non si spunta i baffi?
I took a lot of pictures in Boston.|Feci molte fotografie a Boston.
She betrayed her friends for money.|Ha tradito i suoi amici per dei soldi.
I won't bother you anymore tonight.|Non la disturberò più stasera.
Tom was wearing a janitor's uniform.|Tom era vestito come un custode.
Is there an English speaker here?|C'è qualcuno che parla inglese qui?
We've been doing business for years.|Facciamo affari da anni.
Tom comes from a very small town.|Tom viene da una città molto piccola.
Al Gore is a global-warming activist.|Al Gore è un attivista contro il riscaldamento globale.
Tom spends too much time working.|Tom passa troppo tempo a lavorare.
Why did you want me to come here?|Perché volevi che venissi qui?
Tom was worried about his health.|Tom era molto preoccupato per la sua salute.
Tom and Mary are our best customers.|Tom e Mary sono i nostri clienti migliori.
She advised him to give up drinking.|Gli ha consigliato di smettere di bere.
She studied English in the morning.|Lei ha studiato inglese al mattino.
What's the name of your pharmacy?|Qual è il nome della sua farmacia?
Tom comes here every other month.|Tom viene qui ogni due mesi.
I don't know anything about cricket.|Non so niente sul cricket.
Tom can't come to the office today.|Tom non riesce a venire in ufficio oggi.
She mixed him up with someone else.|Lei lo scambiò per qualcun altro.
Call me up at seven in the morning.|Mi svegli alle sette di mattina.
Tom didn't think Mary was impressed.|In non pensava che Mary fosse impressionata.
Did you get up early this morning?|Vi siete alzati presto questa mattina?
Are you still living in Australia?|Sta ancora vivendo in Australia?
Wake me up early tomorrow morning.|Mi svegli presto domani mattina.
I get up at the same time every day.|Mi alzo alla stessa ora ogni giorno.
I never liked being at home alone.|Non mi è mai piaciuto essere a casa da sola.
Have you ever lied to your mother?|Avete mai mentito a vostra madre?
Why are you so bent out of shape?|Perché se l'è legata così tanto al dito?
"She doesn't like the word ""study."""|"A lei non piace la parola ""studio""."
Tom didn't know what was going on.|Tom non sapeva cosa stava succedendo.
Do people drink tea in your country?|Le persone bevono il tè nel suo paese?
I'll wait here till he comes back.|Aspetterò qui finché non torna.
That looks fun. I'd like to try it.|Sembra divertente. La vorrei provare.
I can't believe that I'm doing this.|Non posso credere che sto facendo questo.
The assessment is being contested.|La valutazione è contestata.
Aren't you going to go talk to Tom?|Non parlerà con Tom?
We studied together in the library.|Noi studiammo insieme in biblioteca.
We have to find Tom's hiding place.|Noi dobbiamo trovare il nascondiglio di Tom.
We are used to living in a big city.|Noi siamo abituati a vivere in una grande città.
What is the acreage of your ranch?|Qual è la superficie del tuo ranch?
Tom's mother died when he was young.|La madre di Tom morì quando lui era giovane.
How many of your students are here?|Quanti dei vostri studenti sono qui?
There was food enough for us all.|C'era abbastanza cibo per tutti noi.
You're in love with Tom, aren't you?|Sei innamorato di Tom, vero?
Tom was surprised and embarrassed.|Tom era sorpreso e imbarazzato.
Have you already washed the dishes?|Avete già lavato i piatti?
I think your plan is too ambitious.|Io penso che il vostro piano sia troppo ambizioso.
I don't have to go back to Boston.|Non devo tornare a Boston.
May I ask you to call me back later?|Le posso chiedere di richiamarmi più tardi?
You haven't met Tom yet, have you?|Non avete ancora incontrato Tom, vero?
I don't think Tom liked the concert.|Io non penso che a Tom sia piaciuto il concerto.
You haven't hurt anyone, have you?|Non hai fatto male a nessuno, vero?
Why were you in that neighborhood?|Perché eravate in quel quartiere?
It ought to be possible to do that.|Dovrebbe essere possibile farlo.
I don't have time to do the laundry.|Non ho tempo per fare il bucato.
Why does Tom have to leave today?|Perché Tom deve partire oggi?
Did you ever hear Tom threaten Mary?|Avete mai sentito Tom minacciare Mary?
I have a good appetite this morning.|Io ho un buon appetito questa mattina.
Are you through with your breakfast?|Avete finito con la vostra colazione?
Don't smoke while you are on duty.|Non fumate quando siete in servizio.
I was able to swim across the river.|Sono stato in grado di nuotare fino all'altra parte del fiume.
All of us were shocked by the news.|Noi eravamo tutte scioccate dalle notizie.
We were having problems with Tom.|Stavamo avendo problemi con Tom.
Tom is unlikely to want to do that.|È improbabile che Tom lo voglia fare.
Why do you need a new television?|Perché hai bisogno di una nuova televisione?
His house seems small beside mine.|La sua casa sembra piccola di fianco alla mia.
Tom didn't have dinner last night.|Tom non ha cenato ieri sera.
Would you mind if I open the window?|Vi dispiacerebbe se apro la finestra?
What are you doing for Christmas?|Che cosa fa per Natale?
I am ready to give up my position.|Sono pronta a rinunciare alla mia posizione.
I'm interested in studying French.|Io sono interessata a studiare francese.
I'm going to get there before dark.|Io arriverò lì prima che faccia buio.
It's only going to get worse now.|Peggiorerà e basta ora.
Could you pass me the pepper, please?|Mi passa il pepe, per piacere?
Do you know how to use this machine?|Sa come usare questa macchina?
Don't worry. I'll get home safely.|Non preoccupatevi. Arriverò a casa sana e salva.
I didn't expect to be asked to sing.|Non mi aspettavo che mi fosse chiesto di cantare.
What were you doing in that cave?|Cosa stavate facendo in quella caverna?
Tom says he can see into the future.|Tom dice che può vedere nel futuro.
The police accused him of murder.|La polizia lo ha accusato di omicidio.
Tom is going to agree to do that.|Tom acconsentirà a farlo.
She got married at the age of 25.|Si è sposata all'età di 25 anni.
Tom doesn't like speaking in public.|A Tom non piace parlare in pubblico.
Tom threw a rock at one of my dogs.|Tom ha lanciato una pietra ad uno dei miei cani.
I doubt there's a market for that.|Dubito che ci sia un mercato per quello.
I spent almost a week in Australia.|Io trascorsi quasi una settimana in Australia.
You should be ready for the worst.|Dovresti essere pronta al peggio.
He won't be in time for the meeting.|Lui non sarà in orario per la riunione.
Are you a dog person or a cat person?|È un'amante dei cani o dei gatti?
I erased my hard disk by accident.|Io ho cancellato il mio hard disk per sbaglio.
I no longer have anything to lose.|Io non ho più niente da perdere.
Is there room for me in your car?|C'è spazio per me nella sua automobile?
He has plenty of money in the bank.|Lui è pieno di soldi in banca.
Tom is at home almost every evening.|Tom è a casa quasi ogni sera.
May I introduce my friend to you?|Posso presentarle la mia amica?
I wouldn't touch that if I were you.|Io non la toccherei se fossi in te.
The water's warm enough for a swim.|L'acqua è calda abbastanza per una nuotata.
He turned a deaf ear to my request.|Non ha dato ascolto alla mia richiesta.
We just ate sushi and drank beer.|Abbiamo appena mangiato del sushi e bevuto della birra.
Thanks to you I've lost my appetite.|Grazie a te ho perso il mio appetito.
Have you ever studied archaeology?|Tu hai mai studiato l'archeologia?
Tom called Mary back the next day.|Tom richiamò Mary il giorno dopo.
Here is a song from the first album.|Ecco una canzone dal primo album.
Tom has plenty of friends in Boston.|Tom ha un sacco di amici a Boston.
I'll do whatever I can to help you.|Farò tutto quello che posso per aiutarvi.
I wouldn't have said it like that.|Non la avrei detta così.
Tom didn't go, and neither did I.|Tom non è andato, e neppure io.
She is concerned about his safety.|Lei si preoccupa della sua sicurezza.
I'd like to sit here for a moment.|Vorrei sedermi qui per un momento.
Let me in. I have to talk to you.|Mi faccia entrare. Devo parlarle.
I think she has a beautiful smile.|Io penso che abbia un bel sorriso.
Tom isn't stupid. He's just lazy.|Tom non è stupido. È solamente pigro.
Both of Tom's parents were teachers.|Entrambi i genitori di Tom erano degli insegnanti.
Tom thinks your ideas are stupid.|Tom pensa che le sue idee siano stupide.
The trains are running on schedule.|I treni sono in orario.
I don't have anything to say to you.|Non ho nulla da dirvi.
I had a good time during the trip.|Io mi sono divertito durante il viaggio.
I met Tom in the library on Monday.|Ho conosciuto Tom in biblioteca lunedì.
